_id,branch,slot,sem,subcode[0],subcode[1],subcode[2],subcode[3],subcode[4],subcode[5],subcode[6]
645532886c991f17286e2645,CE,B,1,PHT100,CYT100,,,,,
645532886c991f17286e2651,CS,D,2,EST120,EST130,,,,,
645532886c991f17286e2656,CA,C,2,EST100,EST110,,,,,
645532886c991f17286e2670,EC,E,2,HUN102,,,,,,
645532886c991f17286e252e,CA,C,3,CST203,,,,,,
645532886c991f17286e2539,CC,B,3,CST201,,,,,,
645532886c991f17286e2560,CA,E,4,EST200,HUT200,,,,,
645532886c991f17286e258e,CA,C,5,AMT305,,,,,,
645532886c991f17286e25ad,CE,D,5,CET307,,,,,,
645532886c991f17286e25bb,CS,F,6,CST308,,,,,,
645532886c991f17286e2602,ME,A,7,MET401,,,,,,
645532886c991f17286e262b,CA,A,1,MAT101,,,,,,
645532886c991f17286e2630,AD,A,1,MAT101,,,,,,
645532886c991f17286e265a,AD,A,2,MAT102,,,,,,
645532886c991f17286e2668,EE,C,2,EST100,EST110,,,,,
645532886c991f17286e266a,EE,E,2,HUN102,,,,,,
645532886c991f17286e2675,CE,D,2,EST120,EST130,,,,,
645532886c991f17286e2676,CE,E,2,HUN102,,,,,,
645532886c991f17286e2530,CA,E,3,EST200,HUT200,,,,,
645532886c991f17286e2534,AD,C,3,CST203,,,,,,
645532886c991f17286e254e,CE,E,3,EST200,HUT200,,,,,
645532886c991f17286e2557,CS,B,4,CST202,,,,,,
645532886c991f17286e257a,CE,A,4,MAT202,,,,,,
645532886c991f17286e257b,CE,B,4,CET202,,,,,,
645532886c991f17286e257f,CE,F,4,MCN202,,,,,,
645532886c991f17286e2582,ME,C,4,MET204,,,,,,
645532886c991f17286e2596,AD,E,5,CST309,,,,,,
645532886c991f17286e25a6,EC,C,5,ECT305,,,,,,
645532886c991f17286e25b0,ME,A,5,MET301,,,,,,
645532886c991f17286e25c5,AD,D,6,AIT31,AIT322,CST332,ADT342,AIT352,AIT362,AMT372
645532886c991f17286e25d0,EE,C,6,EET306,,,,,,
645532886c991f17286e25d7,EC,D,6,ECT312,ECT322,ECT332,ECT342,ECT352,ECT362,ECT372
645532886c991f17286e25e0,ME,A,6,MET302,,,,,,
645532886c991f17286e2623,ME,B,8,MET414,MET424,MET434,MET444,MET454,MET464,MET474
645532886c991f17286e2647,CE,D,1,EST120,EST130,,,,,
645532886c991f17286e2660,CC,A,2,MAT102,,,,,,
645532886c991f17286e2667,EE,B,2,PHT100,CYT100,,,,,
645532886c991f17286e266c,EC,A,2,MAT102,,,,,,
645532886c991f17286e2533,AD,B,3,CST201,,,,,,
645532886c991f17286e254f,CE,F,3,MCN201,,,,,,
645532886c991f17286e2562,AD,A,4,MAT256,,,,,,
645532886c991f17286e256d,CC,F,4,MCN202,,,,,,
645532886c991f17286e256e,EE,A,4,MAT204,,,,,,
645532886c991f17286e2583,ME,D,4,MET206,,,,,,
645532886c991f17286e2587,CS,B,5,CST303,,,,,,
645532886c991f17286e2589,CS,D,5,CST307,,,,,,
645532886c991f17286e258c,CA,A,5,CST301,,,,,,
